object_folder,gt_volume,psr_depth_3,psr_depth_3_error_pct,psr_depth_4,psr_depth_4_error_pct,psr_depth_5,psr_depth_5_error_pct,psr_depth_6,psr_depth_6_error_pct,psr_depth_7,psr_depth_7_error_pct,sphere_ransac_mean,sphere_ransac_mean_error_pct,sphere_ransac_var,cuboid_ransac_mean,cuboid_ransac_mean_error_pct,cuboid_ransac_var
id-80-crispy-pork-rib-21g,0.008592919375470801,,,0.008331816369246951,3.0385832196818936,,,,,,,0.04751129622053748,452.91216110048,0.0028617109555171966,0.034603327246682476,302.69582122998304,0.00405816927980112
id-81-crispy-pork-rib-23g,0.008278488549184929,,,,,,,,,,,0.007679531039800057,7.235107058810186,0.0027159234238798304,0.011958518258290593,44.4529177909896,0.0018265870461794296
id-86-lamb-shank-226g,0.033996662225899275,0.03597313391951558,5.813722772203771,0.03397532584056777,0.06276023566587696,0.03373002497060819,0.7843042164532197,0.033923734887205334,0.21451323135594172,,,0.883662930574759,2499.2637886126613,0.3535441029271675,0.11270668566822084,231.52279750086416,0.00983272878858106
id-87-veal-kebab-piece-23g,0.009565344923835078,,,,,,,,,,,0.01521831555774798,59.09845048898069,0.004853516364830643,0.018365781715788242,92.00333978573106,0.005224116890456969
id-88-chicken-wing-34g,0.0158153844772431,,,,,,,,,,,0.015827030420359732,0.07363680050515675,0.004369752611095937,0.03612596519796983,128.42293369441512,0.0025603716708677933
id-89-chicken-wing-33g,0.010173349182604563,,,,,,,,,,,0.1190850698634619,1070.5591514256266,0.07524333003718645,0.022738862771148956,123.51403026675027,0.002299977934923524
id-92-chicken-wing-34g,0.015685244562210578,0.015449503242667752,1.5029495944920206,0.015609456208988735,0.48318247714437623,0.015624904508872236,0.3846930986572866,0.015670179650194176,0.09604512034639821,,,0.44183190178581055,2716.8633267618084,0.2908364316400712,0.031011119271662575,97.70886675478184,0.004008077331145796
id-93-chicken-wing-22g,0.009284088543127577,0.009256512981354853,0.29701959050289795,,,0.009229409778636313,0.5889513465674521,0.009269830210832724,0.153578159327307,,,0.03164741195012884,240.87796344376113,0.01693141409905501,0.018311231700519126,97.2324112965701,0.0015364458985218084
id-94-chicken-wing-27g,0.009259056601045956,,,,,,,,,,,0.07913419741341399,754.668038258612,0.050677051189775696,0.019237480351443206,107.76933526111105,0.0006931082442913642
id-95-chicken-wing-26g,0.0058461390604526604,0.0058734886114631185,0.467822450469394,0.005805370268578591,0.6973626773584335,0.005819040589012106,0.46352765749052327,0.005837151811076167,0.15372965445330636,,,2.438474991496545,41610.86192581496,1.948340777784165,0.01117606776056371,91.17006360944072,0.0016316300439117807
id-97-french-fry-6g,0.0028731228509123845,0.016061345881135967,459.02050537224864,,,,,,,,,256175.97969192723,8916290395.917234,511701.77290645195,0.00529696728402623,84.36271467974763,0.0004987017247229705
